Name;Chains;Carbons;Double Bonds;Is DB;Is +1 DB;Is +2 DB;Is +3 DB;Is -1 DB;Is -2 DB;Is -3 DB;Number DB before;Number DB after;Number of Carbons before;Number of Carbons after;Number of DB in +-5;Overlap;Overlap X;Overlap X+H;Overlap X-H;Triplet Position;MZ;Adduct;Linkage;ID_id;Intensity
PE 15:0_18:1(9);2;15;0;0;0;0;0;0;0;0;0;0;14;1;0;1;0;0;1;X-H;690.507;[M+H]+;[ 0 42];;10
PE 15:0_18:1(9);2;15;0;0;0;0;0;0;0;0;0;0;13;2;0;1;0;0;1;X-H;676.492;[M+H]+;[ 1 43];;230
PE 15:0_18:1(9);2;15;0;0;0;0;0;0;0;0;0;0;12;3;0;1;0;0;1;X-H;662.476;[M+H]+;[ 2 44];;90
PE 15:0_18:1(9);2;15;0;0;0;0;0;0;0;0;0;0;11;4;0;1;0;0;1;X-H;648.46;[M+H]+;[ 3 45];;30
PE 15:0_18:1(9);2;15;0;0;0;0;0;0;0;0;0;0;10;5;0;1;0;0;1;X-H;634.445;[M+H]+;[ 4 46];;5
PE 15:0_18:1(9);2;15;0;0;0;0;0;0;0;0;0;0;9;6;0;1;0;0;1;X-H;620.429;[M+H]+;[ 5 47];;8
PE 15:0_18:1(9);2;15;0;0;0;0;0;0;0;0;0;0;8;7;0;1;0;0;1;X-H;606.413;[M+H]+;[ 6 48];;10
PE 15:0_18:1(9);2;15;0;0;0;0;0;0;0;0;0;0;7;8;0;1;0;0;1;X-H;592.398;[M+H]+;[ 7 49];;74
PE 15:0_18:1(9);2;15;0;0;0;0;0;0;0;0;0;0;6;9;0;1;1;0;0;X-H;578.382;[M+H]+;[ 8 67];;114
PE 15:0_18:1(9);2;15;0;0;0;0;0;0;0;0;0;0;5;10;0;1;0;1;0;X-H;564.367;[M+H]+;[ 9 85];;150
PE 15:0_18:1(9);2;15;0;0;0;0;0;0;0;0;0;0;4;11;0;1;0;1;0;X-H;550.351;[M+H]+;[10 86];;171
PE 15:0_18:1(9);2;15;0;0;0;0;0;0;0;0;0;0;3;12;0;1;0;1;0;X-H;536.335;[M+H]+;[11 87];;230
PE 15:0_18:1(9);2;15;0;0;0;0;0;0;0;0;0;0;2;13;0;1;0;1;0;X-H;522.32;[M+H]+;[12 88];;40
PE 15:0_18:1(9);2;15;0;0;0;0;0;0;0;0;0;0;1;14;0;1;0;1;0;X-H;508.304;[M+H]+;[13 89];;71
PE 15:0_18:1(9);2;15;0;0;0;0;0;0;0;0;0;0;14;1;0;1;1;0;0;X;689.5;[M+H]+;[14 59];;64
PE 15:0_18:1(9);2;15;0;0;0;0;0;0;0;0;0;0;13;2;0;1;1;0;0;X;675.484;[M+H]+;[15 60];;47
PE 15:0_18:1(9);2;15;0;0;0;0;0;0;0;0;0;0;12;3;0;1;1;0;0;X;661.468;[M+H]+;[16 61];;10
